
2024/06/26 (20:31:56) | ===> btop++ v.1.3.2
2024/06/26 (20:31:56) | ERROR: Stall in Runner thread, restarting!
2024/06/26 (20:32:02) | ERROR: Stall in Runner thread, restarting!
2024/06/26 (20:32:08) | ERROR: Stall in Runner thread, restarting!
2024/06/26 (20:32:14) | ERROR: Stall in Runner thread, restarting!
2024/06/26 (20:32:20) | ERROR: Stall in Runner thread, restarting!
2024/06/26 (20:32:26) | ERROR: Stall in Runner thread, restarting!
2024/06/26 (20:32:32) | ERROR: Stall in Runner thread, restarting!
2024/06/26 (20:32:41) | WARNING: Failed to join _runner thread on exit!
2024/06/26 (20:32:41) | ERROR: No response from Runner thread, quitting!

2024/08/01 (16:45:19) | ===> btop++ v.1.3.2
2024/08/01 (16:45:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/08 (23:21:45) | ===> btop++ v.1.3.0
2024/09/08 (23:21:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/14 (21:36:32) | ===> btop++ v.1.3.2
2024/09/14 (21:36:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/14 (21:36:46) | ===> btop++ v.1.3.2
2024/09/14 (21:36:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/04 (10:09:12) | ===> btop++ v.1.3.2
2024/10/04 (10:09:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/17 (23:05:55) | ===> btop++ v.1.4.0
2024/10/17 (23:05:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/17 (23:05:55) | WARNING: Intel GPU: Failed to initialize PMU
2024/10/17 (23:26:04) | ERROR: Stall in Runner thread, restarting!

2024/10/18 (01:45:16) | ===> btop++ v.1.4.0
2024/10/18 (01:45:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/18 (01:45:16) | WARNING: Intel GPU: Failed to initialize PMU
